PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35876634","High-density Surface Electromyography as Biomarker of Muscle Aging","Imrani L, Boudaoud S, Lahaye C, Moreau C, Ghezal M, Ben Manaa S, Doulazmi M, Laforêt J, Marin F, Kinugawa K.","J Gerontol A Biol Sci Med Sci. 2023 Jan 26;78(1):25-33. doi: 10.1093/gerona/glac143.","Imrani L","J Gerontol A Biol Sci Med Sci","2023","2022/07/25","","","10.1093/gerona/glac143"
"33774145","The influence of resistance training on neuromuscular function in middle-aged and older adults: A systematic review and meta-analysis of randomised controlled trials","James E, Nichols S, Goodall S, Hicks KM, O'Doherty AF.","Exp Gerontol. 2021 Jul 1;149:111320. doi: 10.1016/j.exger.2021.111320. Epub 2021 Mar 24.","James E","Exp Gerontol","2021","2021/03/28","","","10.1016/j.exger.2021.111320"
"38454712","sEMG-based Sarcopenia risk classification using empirical mode decomposition and machine learning algorithms","Kumar KS, Lee D, Jamsrandoj A, Soylu NN, Jung D, Kim J, Mun KR.","Math Biosci Eng. 2024 Jan 25;21(2):2901-2921. doi: 10.3934/mbe.2024129.","Kumar KS","Math Biosci Eng","2024","2024/03/08","","","10.3934/mbe.2024129"
"39551737","Multi-channel EMG manifestations of upper-extremity muscle coordination imbalance among community-dwelling sarcopenic seniors","He H, Wu X, Li N, Jiang Y, He J, Jiang N.","Biomed Eng Online. 2024 Nov 18;23(1):115. doi: 10.1186/s12938-024-01310-3.","He H","Biomed Eng Online","2024","2024/11/17","PMC11571991","","10.1186/s12938-024-01310-3"
"39150814","Digital Biomarker for Muscle Function Assessment Using Surface Electromyography With Electrical Stimulation and a Non-Invasive Wearable Device","Song K, Eun Shin H, Park W, Lee D, Jang J, Yang Shim G, Choi S, Kim M, Lee H, Won Won C.","IEEE Trans Neural Syst Rehabil Eng. 2024;32:3048-3058. doi: 10.1109/TNSRE.2024.3444890. Epub 2024 Aug 26.","Song K","IEEE Trans Neural Syst Rehabil Eng","2024","2024/08/16","","","10.1109/TNSRE.2024.3444890"
"31321803","Neural control properties of the external anal sphincter in young and elderly women","Dias N, Zhang C, Li X, Neshatian L, Orejuela FJ, Zhang Y.","Neurourol Urodyn. 2019 Sep;38(7):1828-1833. doi: 10.1002/nau.24108. Epub 2019 Jul 18.","Dias N","Neurourol Urodyn","2019","2019/07/20","PMC6706306","NIHMS1040182","10.1002/nau.24108"
"32451586","The effects of aging on the distribution and strength of correlated neural inputs to postural muscles during unperturbed bipedal stance","Degani AM, Leonard CT, Danna-Dos-Santos A.","Exp Brain Res. 2020 Jun;238(6):1537-1553. doi: 10.1007/s00221-020-05837-4. Epub 2020 May 25.","Degani AM","Exp Brain Res","2020","2020/05/27","","","10.1007/s00221-020-05837-4"
"40707615","Lower extremity muscle activation patterns in sarcopenic older adults during physical performance tests: implications for rehabilitation approaches","Cai H, Zhang G, Wei L, Xu J, Yan F, Zhang M.","Sci Rep. 2025 Jul 24;15(1):26932. doi: 10.1038/s41598-025-10429-9.","Cai H","Sci Rep","2025","2025/07/24","PMC12290044","","10.1038/s41598-025-10429-9"
"33809692","Characteristics of the Electrophysiological Properties of Neuromuscular Motor Units and Its Adaptive Strategy Response in Lower Extremity Muscles for Seniors with Pre-Sarcopenia: A Preliminary Study","Hu CH, Yang CC, Tu SJ, Huang IJ, Ganbat D, Guo LY.","Int J Environ Res Public Health. 2021 Mar 16;18(6):3063. doi: 10.3390/ijerph18063063.","Hu CH","Int J Environ Res Public Health","2021","2021/04/03","PMC8002219","","10.3390/ijerph18063063"
"40989829","Effect of 6-Min Mastication Test on Masticatory Function in Young Versus Older Adults: A Comparative SEMG Study","Chilwan U, Shameer S, Hanan A, Balasubramanium RK.","ScientificWorldJournal. 2025 Sep 15;2025:1506278. doi: 10.1155/tswj/1506278. eCollection 2025.","Chilwan U","ScientificWorldJournal","2025","2025/09/24","PMC12453908","","10.1155/tswj/1506278"
"31773454","Age- and sex-specific effects in paravertebral surface electromyographic back extensor muscle fatigue in chronic low back pain","Ebenbichler G, Habenicht R, Ziegelbecker S, Kollmitzer J, Mair P, Kienbacher T.","Geroscience. 2020 Feb;42(1):251-269. doi: 10.1007/s11357-019-00134-7. Epub 2019 Nov 27.","Ebenbichler G","Geroscience","2020","2019/11/28","PMC7031171","","10.1007/s11357-019-00134-7"
"31992323","Age-specific differences in the time-frequency representation of surface electromyographic data recorded during a submaximal cyclic back extension exercise: a promising biomarker to detect early signs of sarcopenia","Habenicht R, Ebenbichler G, Bonato P, Kollmitzer J, Ziegelbecker S, Unterlerchner L, Mair P, Kienbacher T.","J Neuroeng Rehabil. 2020 Jan 28;17(1):8. doi: 10.1186/s12984-020-0645-2.","Habenicht R","J Neuroeng Rehabil","2020","2020/01/30","PMC6986160","","10.1186/s12984-020-0645-2"
