PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34136448","Muscles Affecting Minimum Toe Clearance","Perera CK, Gopalai AA, Ahmad SA, Gouwanda D.","Front Public Health. 2021 May 31;9:612064. doi: 10.3389/fpubh.2021.612064. eCollection 2021.","Perera CK","Front Public Health","2021","2021/06/17","PMC8200481","","10.3389/fpubh.2021.612064"
"31278485","Respiratory-Swallow Pattern Following Total Laryngectomy","Fullerton A, Mou Y, Silver N, Chheda N, Bolser D, Hegland K.","Dysphagia. 2020 Apr;35(2):321-327. doi: 10.1007/s00455-019-10031-y. Epub 2019 Jul 5.","Fullerton A","Dysphagia","2020","2019/07/07","PMC8634537","NIHMS1755255","10.1007/s00455-019-10031-y"
"30843847","Asymmetry Index in Muscle Activations","Castagneri C, Agostini V, Rosati S, Balestra G, Knaflitz M.","IEEE Trans Neural Syst Rehabil Eng. 2019 Apr;27(4):772-779. doi: 10.1109/TNSRE.2019.2903687. Epub 2019 Mar 7.","Castagneri C","IEEE Trans Neural Syst Rehabil Eng","2019","2019/03/08","","","10.1109/TNSRE.2019.2903687"
"35876634","High-density Surface Electromyography as Biomarker of Muscle Aging","Imrani L, Boudaoud S, Lahaye C, Moreau C, Ghezal M, Ben Manaa S, Doulazmi M, Laforêt J, Marin F, Kinugawa K.","J Gerontol A Biol Sci Med Sci. 2023 Jan 26;78(1):25-33. doi: 10.1093/gerona/glac143.","Imrani L","J Gerontol A Biol Sci Med Sci","2023","2022/07/25","","","10.1093/gerona/glac143"
"32408236","Stress detection using ECG and EMG signals: A comprehensive study","Pourmohammadi S, Maleki A.","Comput Methods Programs Biomed. 2020 Sep;193:105482. doi: 10.1016/j.cmpb.2020.105482. Epub 2020 May 5.","Pourmohammadi S","Comput Methods Programs Biomed","2020","2020/05/15","","","10.1016/j.cmpb.2020.105482"
"39685975","A Review on Assisted Living Using Wearable Devices","Iadarola G, Mengarelli A, Crippa P, Fioretti S, Spinsante S.","Sensors (Basel). 2024 Nov 21;24(23):7439. doi: 10.3390/s24237439.","Iadarola G","Sensors (Basel)","2024","2024/12/17","PMC11644744","","10.3390/s24237439"
"38987910","Influence of restricted mastication on swallowing function","Hayashi H, Kusunoki T, Komiyama O, Hamada Y, Kawamoto A, Takahashi K, Shimada A.","J Oral Rehabil. 2024 Oct;51(10):2063-2071. doi: 10.1111/joor.13799. Epub 2024 Jul 10.","Hayashi H","J Oral Rehabil","2024","2024/07/11","","","10.1111/joor.13799"
"33583408","Muscle activity and acute stress in fibromyalgia","Zetterman T, Markkula R, Partanen JV, Miettinen T, Estlander AM, Kalso E.","BMC Musculoskelet Disord. 2021 Feb 14;22(1):183. doi: 10.1186/s12891-021-04013-1.","Zetterman T","BMC Musculoskelet Disord","2021","2021/02/15","PMC7883576","","10.1186/s12891-021-04013-1"
"32122767","Non-invasive imaging of single human motor units","Birkbeck MG, Heskamp L, Schofield IS, Blamire AM, Whittaker RG.","Clin Neurophysiol. 2020 Jun;131(6):1399-1406. doi: 10.1016/j.clinph.2020.02.004. Epub 2020 Feb 21.","Birkbeck MG","Clin Neurophysiol","2020","2020/03/04","PMC7208543","","10.1016/j.clinph.2020.02.004"
"36149515","Quantification of the Swallowing Mechanism Through Muscle Synergy Analysis","Murakami C, Sasaki M, Shimoda S, Tamada Y.","Dysphagia. 2023 Jun;38(3):973-989. doi: 10.1007/s00455-022-10523-4. Epub 2022 Sep 23.","Murakami C","Dysphagia","2023","2022/09/23","","","10.1007/s00455-022-10523-4"
