PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34136448","Muscles Affecting Minimum Toe Clearance","Perera CK, Gopalai AA, Ahmad SA, Gouwanda D.","Front Public Health. 2021 May 31;9:612064. doi: 10.3389/fpubh.2021.612064. eCollection 2021.","Perera CK","Front Public Health","2021","2021/06/17","PMC8200481","","10.3389/fpubh.2021.612064"
"31278485","Respiratory-Swallow Pattern Following Total Laryngectomy","Fullerton A, Mou Y, Silver N, Chheda N, Bolser D, Hegland K.","Dysphagia. 2020 Apr;35(2):321-327. doi: 10.1007/s00455-019-10031-y. Epub 2019 Jul 5.","Fullerton A","Dysphagia","2020","2019/07/07","PMC8634537","NIHMS1755255","10.1007/s00455-019-10031-y"
"35876634","High-density Surface Electromyography as Biomarker of Muscle Aging","Imrani L, Boudaoud S, Lahaye C, Moreau C, Ghezal M, Ben Manaa S, Doulazmi M, Laforêt J, Marin F, Kinugawa K.","J Gerontol A Biol Sci Med Sci. 2023 Jan 26;78(1):25-33. doi: 10.1093/gerona/glac143.","Imrani L","J Gerontol A Biol Sci Med Sci","2023","2022/07/25","","","10.1093/gerona/glac143"
"39685975","A Review on Assisted Living Using Wearable Devices","Iadarola G, Mengarelli A, Crippa P, Fioretti S, Spinsante S.","Sensors (Basel). 2024 Nov 21;24(23):7439. doi: 10.3390/s24237439.","Iadarola G","Sensors (Basel)","2024","2024/12/17","PMC11644744","","10.3390/s24237439"
"33583408","Muscle activity and acute stress in fibromyalgia","Zetterman T, Markkula R, Partanen JV, Miettinen T, Estlander AM, Kalso E.","BMC Musculoskelet Disord. 2021 Feb 14;22(1):183. doi: 10.1186/s12891-021-04013-1.","Zetterman T","BMC Musculoskelet Disord","2021","2021/02/15","PMC7883576","","10.1186/s12891-021-04013-1"
"32122767","Non-invasive imaging of single human motor units","Birkbeck MG, Heskamp L, Schofield IS, Blamire AM, Whittaker RG.","Clin Neurophysiol. 2020 Jun;131(6):1399-1406. doi: 10.1016/j.clinph.2020.02.004. Epub 2020 Feb 21.","Birkbeck MG","Clin Neurophysiol","2020","2020/03/04","PMC7208543","","10.1016/j.clinph.2020.02.004"
"40890258","Three-Dimensional gait biomechanics in patients with mild knee osteoarthritis","Pan J, Xie Z, Shen H, Luan J, Zhang X, Liao B.","Sci Rep. 2025 Sep 1;15(1):32061. doi: 10.1038/s41598-025-17398-z.","Pan J","Sci Rep","2025","2025/09/01","PMC12402071","","10.1038/s41598-025-17398-z"
"41525991","Age and task-dependent modulations in EMG-EMG coherence during gait: a scoping review","De Freitas SM, Dal Maso F, Fradet L, Arvisais D, Cherni Y.","J Neurophysiol. 2026 Mar 1;135(3):653-673. doi: 10.1152/jn.00345.2025. Epub 2026 Jan 12.","De Freitas SM","J Neurophysiol","2026","2026/01/12","","","10.1152/jn.00345.2025"
"37604647","The effects of age on dyspnea and respiratory mechanical and neural responses to exercise in healthy men","MacAskill W, Hoffman B, Johnson MA, Sharpe GR, Rands J, Wotherspoon SE, Gevorkov Y, Kolbe-Alexander TL, Mills DE.","Physiol Rep. 2023 Aug;11(16):e15794. doi: 10.14814/phy2.15794.","MacAskill W","Physiol Rep","2023","2023/08/21","PMC10442526","","10.14814/phy2.15794"
"34326376","Muscle synergy differences between voluntary and reactive backward stepping","Wang S, Varas-Diaz G, Bhatt T.","Sci Rep. 2021 Jul 29;11(1):15462. doi: 10.1038/s41598-021-94699-z.","Wang S","Sci Rep","2021","2021/07/30","PMC8322057","","10.1038/s41598-021-94699-z"
