PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34836299","Sarcopenic Dysphagia: A Narrative Review from Diagnosis to Intervention","Chen KC, Jeng Y, Wu WT, Wang TG, Han DS, Özçakar L, Chang KV.","Nutrients. 2021 Nov 12;13(11):4043. doi: 10.3390/nu13114043.","Chen KC","Nutrients","2021","2021/11/27","PMC8621579","","10.3390/nu13114043"
"37270145","Neuromuscular junction transmission failure in aging and sarcopenia: The nexus of the neurological and muscular systems","Arnold WD, Clark BC.","Ageing Res Rev. 2023 Aug;89:101966. doi: 10.1016/j.arr.2023.101966. Epub 2023 Jun 1.","Arnold WD","Ageing Res Rev","2023","2023/06/03","PMC10847753","NIHMS1961702","10.1016/j.arr.2023.101966"
"39236304","Neuromuscular impairment at different stages of human sarcopenia","Sarto F, Franchi MV, McPhee JS, Stashuk DW, Paganini M, Monti E, Rossi M, Sirago G, Zampieri S, Motanova ES, Valli G, Moro T, Paoli A, Bottinelli R, Pellegrino MA, De Vito G, Blau HM, Narici MV.","J Cachexia Sarcopenia Muscle. 2024 Oct;15(5):1797-1810. doi: 10.1002/jcsm.13531. Epub 2024 Sep 5.","Sarto F","J Cachexia Sarcopenia Muscle","2024","2024/09/05","PMC11446718","","10.1002/jcsm.13531"
"35876634","High-density Surface Electromyography as Biomarker of Muscle Aging","Imrani L, Boudaoud S, Lahaye C, Moreau C, Ghezal M, Ben Manaa S, Doulazmi M, Laforêt J, Marin F, Kinugawa K.","J Gerontol A Biol Sci Med Sci. 2023 Jan 26;78(1):25-33. doi: 10.1093/gerona/glac143.","Imrani L","J Gerontol A Biol Sci Med Sci","2023","2022/07/25","","","10.1093/gerona/glac143"
"39159673","Application of Electrophysiological Techniques in Assessing of Neuromuscular Junction-Related Disorders","Yang XG, Guo HY, Peng Z, Luo HT, Lu S.","World Neurosurg. 2024 Nov;191:165-171. doi: 10.1016/j.wneu.2024.08.076. Epub 2024 Aug 17.","Yang XG","World Neurosurg","2024","2024/08/19","","","10.1016/j.wneu.2024.08.076"
"41182934","Narrative Review of Electromyography Applied to Screening or Diagnosis of Sarcopenia","He H, Jiang Y, He J, Jiang N.","IEEE Trans Neural Syst Rehabil Eng. 2025;33:4487-4499. doi: 10.1109/TNSRE.2025.3628111.","He H","IEEE Trans Neural Syst Rehabil Eng","2025","2025/11/03","","","10.1109/TNSRE.2025.3628111"
"41618276","Machine learning-based screening of sarcopenia in elderly women using non-invasive physiological signals","Yoon J, Kim DK.","BMC Med Inform Decis Mak. 2026 Jan 30;26(1):55. doi: 10.1186/s12911-026-03354-y.","Yoon J","BMC Med Inform Decis Mak","2026","2026/01/31","PMC12934118","","10.1186/s12911-026-03354-y"
"33774145","The influence of resistance training on neuromuscular function in middle-aged and older adults: A systematic review and meta-analysis of randomised controlled trials","James E, Nichols S, Goodall S, Hicks KM, O'Doherty AF.","Exp Gerontol. 2021 Jul 1;149:111320. doi: 10.1016/j.exger.2021.111320. Epub 2021 Mar 24.","James E","Exp Gerontol","2021","2021/03/28","","","10.1016/j.exger.2021.111320"
"38454712","sEMG-based Sarcopenia risk classification using empirical mode decomposition and machine learning algorithms","Kumar KS, Lee D, Jamsrandoj A, Soylu NN, Jung D, Kim J, Mun KR.","Math Biosci Eng. 2024 Jan 25;21(2):2901-2921. doi: 10.3934/mbe.2024129.","Kumar KS","Math Biosci Eng","2024","2024/03/08","","","10.3934/mbe.2024129"
"16763836","Voluntary activation during maximal contraction with advancing age: a brief review","Klass M, Baudry S, Duchateau J.","Eur J Appl Physiol. 2007 Jul;100(5):543-51. doi: 10.1007/s00421-006-0205-x. Epub 2006 Jun 9.","Klass M","Eur J Appl Physiol","2007","2006/06/10","","","10.1007/s00421-006-0205-x"
