"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Cuesta-Vargas A.I.; Fuentes-Abolafio I.J.; García-Conejo C.; Díaz-Balboa E.; Trinidad-Fernández M.; Gutiérrez-Sánchez D.; Escriche-Escuder A.; Cobos-Palacios L.; López-Sampalo A.; Pérez-Ruíz J.M.; Roldán-Jiménez C.; Pérez-Velasco M.A.; Mora-Robles J.; López-Carmona M.ªD.; Pérez-Cruzado D.; Martín-Martín J.; Pérez-Belmonte L.M.","Cuesta-Vargas, Antonio Ignacio (18436315500); Fuentes-Abolafio, Iván José (57218498656); García-Conejo, Celia (58314765800); Díaz-Balboa, Estíbaliz (57222755238); Trinidad-Fernández, Manuel (57202677312); Gutiérrez-Sánchez, Daniel (56986505800); Escriche-Escuder, Adrián (57211070704); Cobos-Palacios, Lidia (57196152861); López-Sampalo, Almudena (6602903789); Pérez-Ruíz, Jose Maria (6603413054); Roldán-Jiménez, Cristina (56884582300); Pérez-Velasco, Miguel Angel (56589968400); Mora-Robles, Javier (57998246200); López-Carmona, Mª Dolores (57226611424); Pérez-Cruzado, David (55959776600); Martín-Martín, Jaime (6603642089); Pérez-Belmonte, Luis Miguel (55234942800)","18436315500; 57218498656; 58314765800; 57222755238; 57202677312; 56986505800; 57211070704; 57196152861; 6602903789; 6603413054; 56884582300; 56589968400; 57998246200; 57226611424; 55959776600; 6603642089; 55234942800","Effectiveness of a cardiac rehabilitation program on biomechanical, imaging, and physiological biomarkers in elderly patients with heart failure with preserved ejection fraction (HFpEF): FUNNEL + study protocol","2023","BMC Cardiovascular Disorders","23","1","550","","","9","10.1186/s12872-023-03555-7","https://www.scopus.com/pages/publications/85176256086?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85176256086"
"Cai H.; Zhang G.; Wei L.; Xu J.; Yan F.; Zhang M.","Cai, Hejin (59926410100); Zhang, Guoxin (57220548619); Wei, Linjuan (59240343600); Xu, Jialiang (60012360100); Yan, Fei (56675202600); Zhang, Ming (35197676900)","59926410100; 57220548619; 59240343600; 60012360100; 56675202600; 35197676900","Lower extremity muscle activation patterns in sarcopenic older adults during physical performance tests: implications for rehabilitation approaches","2025","Scientific Reports","15","1","26932","","","3","10.1038/s41598-025-10429-9","https://www.scopus.com/pages/publications/105011530399?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011530399"
"Degani A.M.; Leonard C.T.; Danna-dos-Santos A.","Degani, Adriana M. (16745265000); Leonard, Charles T. (7201721305); Danna-dos-Santos, Alessander (16315625800)","16745265000; 7201721305; 16315625800","The effects of aging on the distribution and strength of correlated neural inputs to postural muscles during unperturbed bipedal stance","2020","Experimental Brain Research","238","6","","1537","1553","10","10.1007/s00221-020-05837-4","https://www.scopus.com/pages/publications/85085326830?origin=resultslist","Article","Final","","Scopus","2-s2.0-85085326830"
"Birkbeck M.G.; Blamire A.M.; Whittaker R.G.; Sayer A.A.; Dodds R.M.","Birkbeck, Matthew G. (57215222085); Blamire, Andrew M. (7005859645); Whittaker, Roger G. (20736067600); Sayer, Avan Aihie (57203238221); Dodds, Richard M. (55222026100)","57215222085; 7005859645; 20736067600; 57203238221; 55222026100","The role of novel motor unit magnetic resonance imaging to investigate motor unit activity in ageing skeletal muscle","2021","Journal of Cachexia, Sarcopenia and Muscle","12","1","","17","29","14","10.1002/jcsm.12655","https://www.scopus.com/pages/publications/85097912304?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85097912304"
"Imrani L.; Boudaoud S.; Lahaye C.; Moreau C.; Ghezal M.; Manaa S.B.; Doulazmi M.; Laforêt J.; Marin F.; Kinugawa K.","Imrani, Loubna (57210391263); Boudaoud, Sofiane (9534663900); Lahaye, Clément (55753076100); Moreau, Caroline (58083001500); Ghezal, Myriam (58082963200); Manaa, Safa Ben (59124947900); Doulazmi, Mohamed (6508213664); Laforêt, Jérémy (23389752900); Marin, Frédéric (7103141093); Kinugawa, Kiyoka (26040725200)","57210391263; 9534663900; 55753076100; 58083001500; 58082963200; 59124947900; 6508213664; 23389752900; 7103141093; 26040725200","High-density Surface Electromyography as Biomarker of Muscle Aging","2023","Journals of Gerontology - Series A Biological Sciences and Medical Sciences","78","1","","25","33","18","10.1093/gerona/glac143","https://www.scopus.com/pages/publications/85147046966?origin=resultslist","Article","Final","","Scopus","2-s2.0-85147046966"
"Ebenbichler G.; Habenicht R.; Ziegelbecker S.; Kollmitzer J.; Mair P.; Kienbacher T.","Ebenbichler, Gerold (57219234145); Habenicht, Richard (56050187500); Ziegelbecker, Sara (57214086022); Kollmitzer, Josef (6701786403); Mair, Patrick (16425720400); Kienbacher, Thomas (6506870369)","57219234145; 56050187500; 57214086022; 6701786403; 16425720400; 6506870369","Age- and sex-specific effects in paravertebral surface electromyographic back extensor muscle fatigue in chronic low back pain","2020","GeroScience","42","1","","251","269","20","10.1007/s11357-019-00134-7","https://www.scopus.com/pages/publications/85076200569?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85076200569"
"Evans K.; Abdelhafiz D.; Abdelhafiz A.H.","Evans, Katherine (57226498312); Abdelhafiz, Dima (57226502326); Abdelhafiz, Ahmed H (6603394036)","57226498312; 57226502326; 6603394036","Sarcopenic obesity as a determinant of cardiovascular disease risk in older people: a systematic review","2021","Postgraduate Medicine","133","8","","831","842","53","10.1080/00325481.2021.1942934","https://www.scopus.com/pages/publications/85111766415?origin=resultslist","Review","Final","","Scopus","2-s2.0-85111766415"
"Kumar K.S.; Lee D.; Jamsrandoj A.; Soylu N.N.; Jung D.; Kim J.; Mun K.R.","Kumar, Konki Sravan (57404719200); Lee, Daehyun (57222760181); Jamsrandoj, Ankhzaya (58933411500); Soylu, Necla Nisa (58088430100); Jung, Dawoon (56223111300); Kim, Jinwook (57204539065); Mun, Kyung Ryoul (56227547200)","57404719200; 57222760181; 58933411500; 58088430100; 56223111300; 57204539065; 56227547200","sEMG-based Sarcopenia risk classification using empirical mode decomposition and machine learning algorithms","2024","Mathematical Biosciences and Engineering","21","2","","2901","2921","11","10.3934/mbe.2024129","https://www.scopus.com/pages/publications/85187498509?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85187498509"
"Li Y.; Wang B.; Jiao X.; Esi Acquah M.E.; Zhu Y.; Jin J.; Zhang X.; Gu D.","Li, Yongjin (59513732700); Wang, Binbin (59234205000); Jiao, Xin (57215505274); Esi Acquah, Mirabel Ewura (57404733100); Zhu, Yunxia (57858523300); Jin, Jun (58092148200); Zhang, Xiaoyan (56701636400); Gu, Dongyun (7202151970)","59513732700; 59234205000; 57215505274; 57404733100; 57858523300; 58092148200; 56701636400; 7202151970","Muscle activation of lower limb during walking in elderly individuals with sarcopenia: A pilot study","2024","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","","","","","2","10.1109/EMBC53108.2024.10782274","https://www.scopus.com/pages/publications/85215002365?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85215002365"
"Hu C.-H.; Yang C.-C.; Tu S.J.; Huang I.-J.; Ganbat D.; Guo L.-Y.","Hu, Chia-Han (57216392314); Yang, Chia-Chi (56176122100); Tu, Shihfan Jack (57216390908); Huang, Ing-Jer (7101923136); Ganbat, Danaa (55753220300); Guo, Lan-Yuen (10238779700)","57216392314; 56176122100; 57216390908; 7101923136; 55753220300; 10238779700","Characteristics of the electrophysiological properties of neuromuscular motor units and its adaptive strategy response in lower extremity muscles for seniors with pre-sarcopenia: A preliminary study","2021","International Journal of Environmental Research and Public Health","18","6","3063","1","11","13","10.3390/ijerph18063063","https://www.scopus.com/pages/publications/85102525372?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85102525372"
